CODPROD,CODBARRAS,DESCRIPCION,PRECIO
72624,6001007209124,"BALDE ",3450
72625,6001120071158,MALLOWS,1100
72626,6001120086312,MALLOWS,1100
72627,6001120600419,MALLOWS,1100
72628,6001120600433,MALLOOWS,1100
72629,6001177102003,TIZA BLANCA,490
72630,6001298008123,ZIPLOC MULTIPACK X 9,1690
72631,6020832800023,TETERA 3 LT,13500
72632,6228802017048,MAMADERA,1650
72633,6228802017055,MAMADERA,1990
72634,6415600005166,BATTERY,1750
72635,6415600042406,SUGRAFREE BATTERY,1750
72636,6415600512367,HYDRO BATTERY,1750
72637,6415600537780,BATTERY,1750
72638,6451479120012,COMETA,890
72639,6524785555240,"ANTENA DE TELEVICION ",2750
72640,6804154369563,RALLADOR,3900
72641,6807091000254,PANCHO VILLA TORTILLAS,1600
72642,6808230001446,BOLSA DE BASURA IMPEKE 50 X 70,560
72643,6865733144551,ANTENA TV,1900
72644,6877946210046,AMPOLLETA ALOGENA,990
72645,6894752297719,VASOS x6 ANATOMICO,2100
72646,6900019566013,ABRE LATAS,1750
72647,6900758140512,PISTOLA SILICONA,2900
72648,6901009000289,CHAMPINONES ENTEROS MISTRAL 42,1050
72649,6901009484201,CHOCLITOS MISTRAL 425 Gr,1150
72650,6901017331115,SALSA SOYA CHINA,1100
72651,6901017331122,SALSA SOYA NARCISSIS 750CC,4200
72652,6901023009565,PINZAS,1900
72653,6901036883053,SALSA SOYA LIGTH MALING 150ML,1550
72654,6901118707017,TEA GREEN CHINA,1250
72655,6901118808059,TE BLACK FUJIAN 25 BOLSITAS,2900
72656,6901118900012,TE JASMIN 40GR,1100
72657,6901295019071,PELOTAS DE PIN PON X 6,750
72658,6901295019088,PELOTA PIM POM,1250
72659,6901428202011,TEA VERDE GREEN TEA,450
72660,6901500000092,LIMPIA MAMADERA,990
72661,6901713138100,HALOGENA DICROICA,4900
72662,6902000521339,AMPOLLETA ECOPACK 13WT,5800
72663,6902088603828,PEPSODENT TRIPLE 90 GR,2900
72664,6902088603842,pepsodent 12 horas  de proteccion 130 gr.,1290
72665,6903130180137,SALSA SOYA,790
72666,6904580100751,FORRO DE CORTINA,1750
72667,6905052680351,VELAS ESPIRAL,990
72668,6905801117367,ALARGADOR MULTIPLE,5490
72669,6906810007021,mopa,2990
72670,6906819025026,"LINTERNA ",1900
72671,6908796130328,REGLA LARGA,1250
72672,6908796130366,ESCUADRA,350
72673,6908796130465,TRANSPORTADOR,590
72674,6910021007206,CEPILLO COLGATE PREMIER CLEAN MED,1950
72675,6911078031558,CUCHARA DE PALO,990
72676,6911266851494,"CORCHETES 26/6 ",990
72677,6913121676822,PELA PAPAS,1900
72678,6916154135465,"FLOTADOR ALITAS ",1200
72679,6917554726321,RUCAS QUESO,1450
72680,6917554726338,ARTESANAS PAPAS FRITAS 100G,2200
72681,6917554726345,"RUCAS PIZZA ",1450
72682,6917554726352,PAPAS RUCAS CREMA CEBOLLA,2200
72683,6917554726369,PAPAS RUCAS ORIGINAL,1650
72684,6919798024027,DESTACADOR FLURECENTE,350
72685,6920113040608,DESTAPADOR,1900
72686,6920160526018,CHALECO FLOTADOR,2490
72687,6920170800085,PELOTA TENIS,2900
72688,6920180311021,PETALOS DESMAQUILLADORES,990
72689,6920243181066,FUENTE OVALADA MEDIANA,990
72690,6920388600675,ALITAS INFLABLES,1190
72691,6920388648738,CHALECO INFLABLE,1350
72692,6920590246982,AMPOLLETA VELA 160WATT PHILLIP,3250
72693,6920733462514,CHISPAS,150
72694,6920733462521,CHISPAS,150
72695,6920733462538,CHISPAS,150
72696,6920733462545,CHISPAS BROCHA,200
72697,6920984502021,SALSA DE SOYA 750G,1400
72698,6921180820025,SALSA DE SOYA PEARL RIVER 500ML,2350
72699,6921180820087,SALSA SOYA OSCURA SUPERIOR 500ML,2250
72700,6921180880791,VINAGRE DE ARROZ PEARL RIVER,1590
72701,6921199310425,CHUPETE DE ENTRETENCION BABY SOOTHER,990
72702,6921250682485,COLOR PENS PLUMONES,750
72703,6921583190152,PEGAMENTO STICK PROARTE,750
72704,6922237084070,PINTURA ACRILICA,2900
72705,6922278756950,Pelador Porotos,1490
72706,6922621700487,PACK  DE BOMBILLAS,1450
72707,6922987600650,SOPAPO,1100
72708,6923041321252,"CHINCHES ",650
72709,6923647299023,ALGAS NORI 30GR,3490
72710,6923654503984,PAÑO COCINA,1900
72711,6924010068918,COTONITOS NOB NOB,490
72712,6924225700030,TIZA BLANCA OTELO X 12,490
72713,6924246142390,TACADOR ISOFIT,490
72714,6924246145803,PLUMON PIZARRA,450
72715,6924246145810,PLUMON PARA PIZARRA,450
72716,6924492453929,DESTACADOR,450
72717,6924492453974,PORTAMINAS 0.5 X-SIGHT AZUL,450
72718,6925651500027,REGLA,200
72719,6925871653572,LINTERNA EWTTO,2500
72720,6926091400502,CEPILLO  DENTAL  KIDDIE,490
72721,6926341828087,"CONITOS NOB NOB ",490
72722,6926341861305,LAPICES DE COLOR ARTE X 6,250
72723,6926341861329,"LAPIZ COLOR 12 UNIDADES  ",500
